Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Strain]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Factor Value[Growth Environment]	Factor Value[Time]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Media Information]	Term Source REF	Term Accession Number	Parameter Value[Growth Temperature]	Unit	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
4.1	4.1	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
4.2	4.2	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
4.3	4.3	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
4.4	4.4	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	SS316	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
4.6	4.6	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	p-SS316	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
4.7	4.7	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	p-SS316	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
4.8	4.8	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	p-SS316	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
5.1	5.1	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	LIS	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
5.2	5.2	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	LIS	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
5.3	5.3	Pseudomonas aeruginosa	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/287	UCBPP-PA14	OSD	https://osdr.nasa.gov/	Cells	MESH	http://purl.bioontology.org/ontology/MESH/D002477	Space Flight	MESH	http://purl.bioontology.org/ontology/MESH/D013026	LIS	1	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Treatment protocol	LB broth (Lennox) supplemented with KNO3	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	4	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
