Source Name,biofilm_mass_micrometer_cubed_by_micrometer_squared,biofilm_biomass_mean_thickness_micrometer,biofilm_maximum_thickness_micrometer,biofilm_surface_area_coverage_percent,roughness_coefficient_roughness_average
G1.1,0.774,3.65682,5.5,38.53,1.15346
G1.1001,0.74021,3.70207,5.32,42.75,1.23632
G1.1002,1.43243,5.7081,7.14,61.66,0.76775
G1.1003,0.6234,3.41895,5.838,36.26,1.2812
G1.2,1.78795,7.37566,10.972,62.32,0.82756
G1.2001,1.17149,6.1492,9.085,44.99,1.11168
G1.2002,1.6143,6.60356,9.438,58.37,0.86162
G1.2003,1.0266,5.08557,8.349,41.12,1.1925
G1.3,0.46481,3.15811,4.828,35.26,1.29967
G1.3001,0.43747,3.01493,5.082,34.7,1.30981
G1.3002,0.4416,3.0681,5.454,30.12,1.40041
G1.3003,0.58258,3.05784,5.792,32.58,1.35418
G1.5,0.82429,3.69334,5.394,40.28,1.19538
G1.5001,0.76085,3.36799,5.232,38.01,1.24069
G1.5002,0.71047,2.73636,4.424,38.98,1.22296
G1.5003,0.64806,3.8256,6.03,33.65,1.32737
G1.6,0.8327,5.46197,9.126,47.23,1.06447
G1.6001,0.92805,7.42531,10.88,50.18,1.0078
G1.6002,0.83154,6.00905,8.613,43.78,1.12637
G1.6003,0.59862,3.21925,5.7,39.93,1.21172
G1.7,0.21431,3.53852,5.733,11.59,1.76895
G1.7001,0.51251,3.06644,6.266,25.96,1.49197
G1.7002,0.89076,3.50127,4.576,40.59,1.19406
G1.7003,0.66202,8.09625,9.693,37.85,1.24787
G1.8,0.36496,4.89332,7.125,29.49,1.41059
G1.8001,0.31613,3.73602,6.688,27.04,1.46048
G1.8002,0.47424,3.49089,5.984,39.04,1.22508
G1.8003,0.41577,3.77426,5.508,35.21,1.29921
G2.1,0.04775,6.1233,6.205,3.72,1.92556
G2.1001,0.10403,8.03239,8.336,4.47,1.91066
G2.1002,0.05818,2.58213,2.688,6.19,1.87614
G2.1003,0.07841,3.31616,3.84,8.23,1.83531
G2.2,0.10079,4.6807,8.811,2.7,1.94598
G2.2001,0.20934,16.0407,30.0255,1.66,1.96671
G2.3,0.02557,4.23912,5.568,3.07,1.93855
G2.3001,0.07551,4.57255,5.644,5.43,1.89136
G2.3002,0.06588,5.89893,7.436,4.59,1.90823
G2.3003,0.12634,2.89569,6.28,9.99,1.80019
G2.4,0.00514,0.74284,0.925,1.32,1.97363
G2.4001,0.01848,1.31901,1.336,2.97,1.94068
G2.4002,0.00248,0.47884,1.23,0.52,1.98962
G2.4003,0.07079,7.25085,8.556,2.66,1.94678
G2.5003,2.83555,8.84135,10.37,92.62,0.24534
G2.6,4.81686,11.72035,13.14,99.29,0.12174
G2.6001,2.017,11.86749,14.06,80.42,0.45686
G2.7003,1.15472,1.88292,6.804,96.39,0.41822
G2.8001,4.68791,15.12166,17.799,93.39,0.25031
G2.8004,5.37056,8.97175,9.352,98.8,0.07362
G2.8005,2.22254,6.31428,7.146,71.06,0.58847
G2.8006,4.32153,9.04143,13.488,92.48,0.49429
G3.2,5.55779,17.68112,18.62,99.82,0.07031
G3.2001,8.53982,12.90095,14.95,99.97,0.14931
G3.2002,5.33668,18.17885,19.228,99.56,0.066
G3.2003,2.78719,7.55275,8.55,99.12,0.09743
G3.3001,6.45647,27.70592,31.579,99.96,0.07871
G3.4,2.94866,5.45948,10.98,98.93,0.2303
G3.4001,3.13804,4.7236,8.68,99.32,0.14186
G3.4002,3.23963,4.35054,13.02,97.82,0.27061
G3.4003,4.03655,4.95042,15.876,99.75,0.20053
G3.5,7.05126,27.0953,41.72,99.76,0.11998
G3.5001,7.20356,16.65232,29.348,99.99,0.17649
G3.5002,8.08534,15.62315,29.718,100,0.18782
G3.5003,5.14747,14.00409,32.01,99.86,0.25243
G3.6,3.07643,7.78195,16.397,99.92,0.16282
G3.6001,2.86007,7.17495,14.72,99.6,0.18346
G3.6002,2.5187,6.26887,13.56,98.59,0.26176
G3.6003,2.43157,5.67829,14.212,98.77,0.31089
G3.7,4.39077,12.93833,17.461,97.63,0.12688
G3.7002,5.10028,10.30444,15.062,99.15,0.11917
G3.7003,4.92562,11.11195,17.622,99.68,0.15387
G3.8001,9.54941,21.8675,24.504,99.87,0.07984
G3.8002,10.21579,23.8281,32.672,99.64,0.11649
G7.1,3.72943,7.36225,9.223,91.83,0.29287
G7.1001,3.00229,9.59555,12.51,81.78,0.4354
G7.1002,3.16151,8.08952,11.502,77.39,0.52341
G7.1003,2.54844,8.22556,11.325,75.08,0.57277
G7.2,3.45672,6.34646,6.578,89.66,0.22524
G7.2001,1.78727,5.33138,6.532,70.75,0.5902
