tif_file,sample_key,spaceflight,time,material_type,rna_available,rna_sample_name,tif_relpath,modality
LSDS-55_microscopy_G1..1001.tif,G1.1,Ground,1,Cells,False,,LSDS-55_microscopy_G1..1001.tif,microscopy
LSDS-55_microscopy_G1.1.tif,G1.1,Ground,1,Cells,False,,LSDS-55_microscopy_G1.1.tif,microscopy
LSDS-55_microscopy_G1.1002.tif,G1.1,Ground,1,Cells,False,,LSDS-55_microscopy_G1.1002.tif,microscopy
LSDS-55_microscopy_G1.1003.tif,G1.1,Ground,1,Cells,False,,LSDS-55_microscopy_G1.1003.tif,microscopy
LSDS-55_microscopy_G1.2.tif,G1.2,Ground,1,Cells,False,,LSDS-55_microscopy_G1.2.tif,microscopy
LSDS-55_microscopy_G1.2001.tif,G1.2,Ground,1,Cells,False,,LSDS-55_microscopy_G1.2001.tif,microscopy
LSDS-55_microscopy_G1.2002.tif,G1.2,Ground,1,Cells,False,,LSDS-55_microscopy_G1.2002.tif,microscopy
LSDS-55_microscopy_G1.2003.tif,G1.2,Ground,1,Cells,False,,LSDS-55_microscopy_G1.2003.tif,microscopy
LSDS-55_microscopy_G1.3.tif,G1.3,Ground,1,Cells,False,,LSDS-55_microscopy_G1.3.tif,microscopy
LSDS-55_microscopy_G1.3001.tif,G1.3,Ground,1,Cells,False,,LSDS-55_microscopy_G1.3001.tif,microscopy
LSDS-55_microscopy_G1.3002.tif,G1.3,Ground,1,Cells,False,,LSDS-55_microscopy_G1.3002.tif,microscopy
LSDS-55_microscopy_G1.3003.tif,G1.3,Ground,1,Cells,False,,LSDS-55_microscopy_G1.3003.tif,microscopy
LSDS-55_microscopy_G1.5.tif,G1.5,Ground,1,Cells,False,,LSDS-55_microscopy_G1.5.tif,microscopy
LSDS-55_microscopy_G1.5001.tif,G1.5,Ground,1,Cells,False,,LSDS-55_microscopy_G1.5001.tif,microscopy
LSDS-55_microscopy_G1.5002.tif,G1.5,Ground,1,Cells,False,,LSDS-55_microscopy_G1.5002.tif,microscopy
LSDS-55_microscopy_G1.5003.tif,G1.5,Ground,1,Cells,False,,LSDS-55_microscopy_G1.5003.tif,microscopy
LSDS-55_microscopy_G1.6.tif,G1.6,Ground,1,Cells,False,,LSDS-55_microscopy_G1.6.tif,microscopy
LSDS-55_microscopy_G1.6001.tif,G1.6,Ground,1,Cells,False,,LSDS-55_microscopy_G1.6001.tif,microscopy
LSDS-55_microscopy_G1.6002.tif,G1.6,Ground,1,Cells,False,,LSDS-55_microscopy_G1.6002.tif,microscopy
LSDS-55_microscopy_G1.6003.tif,G1.6,Ground,1,Cells,False,,LSDS-55_microscopy_G1.6003.tif,microscopy
LSDS-55_microscopy_G1.7.tif,G1.7,Ground,1,Cells,False,,LSDS-55_microscopy_G1.7.tif,microscopy
LSDS-55_microscopy_G1.7001.tif,G1.7,Ground,1,Cells,False,,LSDS-55_microscopy_G1.7001.tif,microscopy
LSDS-55_microscopy_G1.7002.tif,G1.7,Ground,1,Cells,False,,LSDS-55_microscopy_G1.7002.tif,microscopy
LSDS-55_microscopy_G1.7003.tif,G1.7,Ground,1,Cells,False,,LSDS-55_microscopy_G1.7003.tif,microscopy
LSDS-55_microscopy_G1.8.tif,G1.8,Ground,1,Cells,False,,LSDS-55_microscopy_G1.8.tif,microscopy
LSDS-55_microscopy_G1.8001.tif,G1.8,Ground,1,Cells,False,,LSDS-55_microscopy_G1.8001.tif,microscopy
LSDS-55_microscopy_G1.8002.tif,G1.8,Ground,1,Cells,False,,LSDS-55_microscopy_G1.8002.tif,microscopy
LSDS-55_microscopy_G1.8003.tif,G1.8,Ground,1,Cells,False,,LSDS-55_microscopy_G1.8003.tif,microscopy
LSDS-55_microscopy_G13.1.tif,G13.1,Ground,3,Cells,False,,LSDS-55_microscopy_G13.1.tif,microscopy
LSDS-55_microscopy_G13.1001.tif,G13.1,Ground,3,Cells,False,,LSDS-55_microscopy_G13.1001.tif,microscopy
LSDS-55_microscopy_G13.1002.tif,G13.1,Ground,3,Cells,False,,LSDS-55_microscopy_G13.1002.tif,microscopy
LSDS-55_microscopy_G13.1003.tif,G13.1,Ground,3,Cells,False,,LSDS-55_microscopy_G13.1003.tif,microscopy
LSDS-55_microscopy_G13.2.tif,G13.2,Ground,3,Cells,False,,LSDS-55_microscopy_G13.2.tif,microscopy
LSDS-55_microscopy_G13.2001.tif,G13.2,Ground,3,Cells,False,,LSDS-55_microscopy_G13.2001.tif,microscopy
LSDS-55_microscopy_G13.2002.tif,G13.2,Ground,3,Cells,False,,LSDS-55_microscopy_G13.2002.tif,microscopy
